Date,Liquidity
2010-04-30,71502.496614598
2010-05-31,71521.410022235
2010-06-30,72569.945612216
2010-07-31,76148.354871225
2010-08-31,80589.149419045
2010-09-30,82315.446116865
2010-10-31,83067.886718365
2010-11-30,84755.027366015
2010-12-31,89051.96883205
2011-01-31,87499.1018
2011-02-28,88676.63499742
2011-03-31,89281.9528687
2011-04-30,87161.4760796
2011-05-31,87484.55741783
2011-06-30,87199.7682311
2011-07-31,91491.74334107
2011-08-31,91661.47931937
2011-09-30,92965.47562782
2011-10-31,93248.7401535
2011-11-30,94708.8220392
2011-12-31,101248.230117
2012-01-31,101880.17408031
2012-02-29,104046.20610587
2012-03-31,106808.74373155
2012-04-30,108764.42764261
2012-05-31,110737.73754721
2012-06-30,109480.02469178
2012-07-31,110763.6368357
2012-08-31,112657.65977909
2012-09-30,114877.90941542
2012-10-31,118329.02508878
2012-11-30,121659.96235384
2012-12-31,126199.08974557
2013-01-31,129381.14373206
2013-02-28,133398.58094958
2013-03-31,132895.80379549
2013-04-30,132915.12506444
2013-05-31,132915.23133818
2013-06-30,132479.56750916
2013-07-31,134493.78616935
2013-08-31,133073.96539439
2013-09-30,131517.1955229
2013-10-31,132660.78009618
2013-11-30,132996.41786576
2013-12-31,135555.39628432
2014-01-31,132063.50181163
2014-02-28,132372.99562273
2014-03-31,132344.85052643
2014-04-30,132350.85564164
2014-05-31,133882.60557386
2014-06-30,135600.82169087
2014-07-31,138143.5262341
2014-08-31,138793.92201963
2014-09-30,136631.4035412
2014-10-31,137941.99986565
2014-11-30,138654.84783693
2014-12-31,145503.22236224
2015-01-31,141933.7242309
2015-02-28,140609.41233167
2015-03-31,138927.67463796
2015-04-30,139137.78071525
2015-05-31,138143.87990124
2015-06-30,138018.08204637
2015-07-31,140803.65481401
2015-08-31,137167.18247532
2015-09-30,137077.63808944
2015-10-31,139502.21892053
2015-11-30,141316.88607007
2015-12-31,148398.93225415
2016-01-31,145452.94158185
2016-02-29,146047.48576064
2016-03-31,144548.04807954
2016-04-30,147220.15299557
2016-05-31,149275.32050687
2016-06-30,149835.46699026
2016-07-31,159175.47576732
2016-08-31,161245.76984059
2016-09-30,161693.12073509
2016-10-31,160326.59871864
2016-11-30,162308.09490402
2016-12-31,165423.89277803
2017-01-31,165307.18967167
2017-02-28,165107.30773497
2017-03-31,165556.95884138
2017-04-30,164975.73111821
2017-05-31,167165.6585383
2017-06-30,168565.03464669
2017-07-31,170004.54398893
2017-08-31,172548.32597103
2017-09-30,178422.72167441
2017-10-31,179655.10839983
2017-11-30,182051.12532612
2017-12-31,186976.59715848
2018-01-31,189130.82683392
2018-02-28,189109.77071356
2018-03-31,187291.85616273
2018-04-30,185719.89963319
2018-05-31,185512.83020938
2018-06-30,186875.15902027
2018-07-31,190384.77519047
2018-08-31,192957.29256157
2018-09-30,193052.5490081
2018-10-31,193787.1218886
2018-11-30,197561.81042896
2018-12-31,203589.18559941
2019-01-31,203336.26316985
2019-02-28,202959.53838262
2019-03-31,204963.11443983
2019-04-30,203230.38726196
2019-05-31,204344.6075451
2019-06-30,204791.36121697
2019-07-31,209608.99578673
2019-08-31,212515.43390091
2019-09-30,211325.44038695
2019-10-31,213148.9722517
2019-11-30,217980.97619599
2019-12-31,222036.18253434
2020-01-31,227547.64079974
2020-02-29,227972.03308043
2020-03-31,231591.78971623
2020-04-30,242421.86970286
2020-05-31,267592.58110182
2020-06-30,274871.70584071
2020-07-31,287657.3884784
2020-08-31,289910.87030155
2020-09-30,290207.527205
2020-10-31,291443.97353667
2020-11-30,293143.83996513
2020-12-31,305702.19982496
2021-01-31,307419.26299981
2021-02-28,307142.155066
2021-03-31,305587.85784501
2021-04-30,295767.43911597
2021-05-31,290939.58170511
2021-06-30,291870.84002574
2021-07-31,302497.90545195
2021-08-31,300167.7991951
2021-09-30,297665.62107748
2021-10-31,291476.11937561
2021-11-30,289275.34584353
2021-12-31,293482.79355155
2022-01-31,290139.8836515
2022-02-28,285817.69303332
2022-03-31,284792.74524273
2022-04-30,281294.70551259
2022-05-31,279557.49906568
2022-06-30,278840.24389636
2022-07-31,287363.89333111
2022-08-31,290002.31366301
2022-09-30,295831.4960857
2022-10-31,292817.61735555
2022-11-30,288445.39617944
2022-12-31,294681.92939414
2023-01-31,296594.92527463
2023-02-28,293472.62852338
2023-03-31,290325.2049135
2023-04-30,285295.47277182
2023-05-31,284980.89691456
2023-06-30,285160.15178922
2023-07-31,290956.28947337
2023-08-31,290521.6124739
2023-09-30,290677.90748628
2023-10-31,290183.26323174
2023-11-30,293352.90056198
2023-12-31,302237.05940572
2024-01-31,302559.06707648
2024-02-29,301723.20209681
2024-03-31,302285.81117138
2024-04-30,300436.02556459
2024-05-31,307307.01321256
2024-06-30,318850.27126668
2024-07-31,326131.68772824
2024-08-31,332608.90363454
2024-09-30,334036.69855636
2024-10-31,337894.69501884
2024-11-30,336801.52351663
2024-12-31,344028.26259912
2025-01-31,342729.06038258
2025-02-28,340710.20723183
2025-03-31,339138.68201438
2025-04-30,334153.82934124
2025-05-31,344519.01481653
2025-06-30,340255.79743764
2025-07-31,350198.51386562
2025-08-31,350189.56875089
2025-09-30,350518.55232705
2025-10-31,353785.25244379
2025-11-30,364391.37201986
2025-12-31,383367.07528122
